"year","CSI_CATEGORY","crime_count"
2014,"Assault",16576
2014,"Auto Theft",3660
2014,"Break and Enter",7186
2014,"Robbery",3635
2014,"Theft Over",1000
2015,"Assault",17953
2015,"Auto Theft",3412
2015,"Break and Enter",6909
2015,"Robbery",3467
2015,"Theft Over",1032
2016,"Assault",18776
2016,"Auto Theft",3439
2016,"Break and Enter",6391
2016,"Robbery",3648
2016,"Theft Over",1020
2017,"Assault",19336
2017,"Auto Theft",3719
2017,"Break and Enter",6885
2017,"Robbery",3998
2017,"Theft Over",1162
2018,"Assault",19739
2018,"Auto Theft",4852
2018,"Break and Enter",7609
2018,"Robbery",3626
2018,"Theft Over",1257
2019,"Assault",20650
2019,"Auto Theft",5321
2019,"Break and Enter",8459
2019,"Robbery",3508
2019,"Theft Over",1347
2020,"Assault",18147
2020,"Auto Theft",5847
2020,"Break and Enter",6896
2020,"Robbery",2776
2020,"Theft Over",1198
2021,"Assault",18864
2021,"Auto Theft",6636
2021,"Break and Enter",5652
2021,"Robbery",2229
2021,"Theft Over",1065
2022,"Assault",21088
2022,"Auto Theft",9827
2022,"Break and Enter",6030
2022,"Robbery",2826
2022,"Theft Over",1423
2023,"Assault",24147
2023,"Auto Theft",12399
2023,"Break and Enter",7633
2023,"Robbery",3102
2023,"Theft Over",1726
2024,"Assault",24700
2024,"Auto Theft",9547
2024,"Break and Enter",6811
2024,"Robbery",3130
2024,"Theft Over",1852
2025,"Assault",23084
2025,"Auto Theft",7157
2025,"Break and Enter",6003
2025,"Robbery",2508
2025,"Theft Over",1821
